id,anio,mes,balance,tipo,energia_mwh,fecha_proceso,lote_id_log,indice_tiempo
6329,2017,12,OFERTA,Nuclear,650681.84,2020-05-05 11:07:24.323786,67,2017-12
6330,2017,12,OFERTA,Renovable,248506.286,2020-05-05 11:07:24.323786,67,2017-12
6331,2017,12,OFERTA,Térmica,7758948.804,2020-05-05 11:07:24.323786,67,2017-12
6332,2018,01,OFERTA,Hidráulica,3521862.516,2020-05-05 11:07:24.323786,67,2018-01
6333,2018,01,OFERTA,Importacion,5794.885,2020-05-05 11:07:24.323786,67,2018-01
6334,2018,01,OFERTA,Nuclear,638616.512,2020-05-05 11:07:24.323786,67,2018-01
6335,2018,01,OFERTA,Renovable,241285.877,2020-05-05 11:07:24.323786,67,2018-01
6336,2018,01,OFERTA,Térmica,8341240.183,2020-05-05 11:07:24.323786,67,2018-01
6337,2018,02,OFERTA,Hidráulica,3117426.626,2020-05-05 11:07:24.323786,67,2018-02
6338,2018,02,OFERTA,Importacion,5661.85,2020-05-05 11:07:24.323786,67,2018-02
6339,2018,02,OFERTA,Nuclear,572050.939,2020-05-05 11:07:24.323786,67,2018-02
6340,2018,02,OFERTA,Renovable,207904.416,2020-05-05 11:07:24.323786,67,2018-02
6341,2018,02,OFERTA,Térmica,7866947.416,2020-05-05 11:07:24.323786,67,2018-02
6342,2018,03,OFERTA,Hidráulica,3191819.081,2020-05-05 11:07:24.323786,67,2018-03
6343,2018,03,OFERTA,Importacion,6232.67,2020-05-05 11:07:24.323786,67,2018-03
6344,2018,03,OFERTA,Nuclear,505081.321,2020-05-05 11:07:24.323786,67,2018-03
6345,2018,03,OFERTA,Renovable,196551.35,2020-05-05 11:07:24.323786,67,2018-03
6346,2018,03,OFERTA,Térmica,7730120.391,2020-05-05 11:07:24.323786,67,2018-03
6347,2018,04,OFERTA,Hidráulica,3037322.748,2020-05-05 11:07:24.323786,67,2018-04
6348,2018,04,OFERTA,Importacion,5632.1,2020-05-05 11:07:24.323786,67,2018-04
6349,2018,04,OFERTA,Nuclear,575130.6,2020-05-05 11:07:24.323786,67,2018-04
6350,2018,04,OFERTA,Renovable,180256.235,2020-05-05 11:07:24.323786,67,2018-04
6351,2018,04,OFERTA,Térmica,7055024.179,2020-05-05 11:07:24.323786,67,2018-04
6352,2018,05,OFERTA,Hidráulica,2922568.891,2020-05-05 11:07:24.323786,67,2018-05
6353,2018,05,OFERTA,Importacion,17736.07,2020-05-05 11:07:24.323786,67,2018-05
6354,2018,05,OFERTA,Nuclear,752501.256,2020-05-05 11:07:24.323786,67,2018-05
6355,2018,05,OFERTA,Renovable,181926.069,2020-05-05 11:07:24.323786,67,2018-05
6356,2018,05,OFERTA,Térmica,7144169.976,2020-05-05 11:07:24.323786,67,2018-05
6357,2018,06,OFERTA,Hidráulica,3250397.414,2020-05-05 11:07:24.323786,67,2018-06
6358,2018,06,OFERTA,Importacion,11299.595,2020-05-05 11:07:24.323786,67,2018-06
6359,2018,06,OFERTA,Nuclear,741414.599,2020-05-05 11:07:24.323786,67,2018-06
6360,2018,06,OFERTA,Renovable,209034.578,2020-05-05 11:07:24.323786,67,2018-06
6361,2018,06,OFERTA,Térmica,8103954.004,2020-05-05 11:07:24.323786,67,2018-06
6362,2018,07,OFERTA,Hidráulica,3612520.469,2020-05-05 11:07:24.323786,67,2018-07
6363,2018,07,OFERTA,Importacion,12295.168,2020-05-05 11:07:24.323786,67,2018-07
6364,2018,07,OFERTA,Nuclear,706410.365,2020-05-05 11:07:24.323786,67,2018-07
6365,2018,07,OFERTA,Renovable,228117.475,2020-05-05 11:07:24.323786,67,2018-07
6366,2018,07,OFERTA,Térmica,8479600.168,2020-05-05 11:07:24.323786,67,2018-07
6367,2018,08,OFERTA,Hidráulica,3412034.86,2020-05-05 11:07:24.323786,67,2018-08
6368,2018,08,OFERTA,Importacion,11428.58,2020-05-05 11:07:24.323786,67,2018-08
6369,2018,08,OFERTA,Nuclear,664848.663,2020-05-05 11:07:24.323786,67,2018-08
6370,2018,08,OFERTA,Renovable,285707.086,2020-05-05 11:07:24.323786,67,2018-08
